City,Amount,Product_Category,Sales_Rep,Discount,Customer_segmentation,After_dicouont,Loss,Month_Formatted,Spend,Channel
Chennai,3171.48,Electronics,Anthony Diaz,0.18,Retail,2600.61,570.87,01-01-2023,,Print
Chennai,3695.63,Electronics,Kristin Hart,0.19,Retail,2993.46,702.17,01-01-2023,,Print
Chennai,2062.53,Home Decor,Nicholas Thompson,0.01,Online,2041.9,20.63,01-01-2023,,Print
Chennai,2995.41,Electronics,Angela Myers,0.12,Retail,2635.96,359.45,01-01-2023,,Print
Chennai,3625.34,Electronics,Veronica Mccoy,0.05,Online,3444.07,181.27,01-01-2023,,Print
Chennai,1456.25,Groceries,Dawn Grimes,0.04,Wholesale,1398,58.25,01-01-2023,,Print
Chennai,5547.54,Apparel,Larry Silva,0.16,Wholesale,4659.93,887.61,01-01-2023,,Print
Chennai,9438.27,Apparel,Latasha Mata,0.05,Online,8966.36,471.91,01-01-2023,,Print
Chennai,4412.8,Apparel,Rodney Lutz,0.22,Online,3441.98,970.82,01-01-2023,,Print
Chennai,5087.83,Electronics,Karen Johnson,0.18,Online,4172.02,915.81,01-01-2023,,Print
Chennai,7096.48,Apparel,Sarah Johnson,0.21,Online,5606.22,1490.26,01-01-2023,,Print
Chennai,8218.32,Apparel,Nichole Marshall,0.06,Online,7725.22,493.1,01-01-2023,,Print
Chennai,6091.65,Apparel,Michael Ewing,0.17,Retail,5056.07,1035.58,01-01-2023,,Print
Chennai,9201.73,Electronics,Angela Wilson,0.2,Wholesale,7361.38,1840.35,01-01-2023,,Print
Chennai,1826.88,Home Decor,Kelsey Willis,0.04,Retail,1753.8,73.08,01-01-2023,,Print
Chennai,3405.16,Groceries,Angela Lewis,0.01,Online,3371.11,34.05,01-01-2023,,Print
Chennai,8757.7,Electronics,Mark Turner,0.05,Retail,8319.82,437.89,01-01-2023,,Print
Chennai,1421.83,Apparel,Neil Hart,0.13,Wholesale,1236.99,184.84,01-01-2023,,Print
Chennai,5372.32,Apparel,Gregory Morales,0.02,Online,5264.87,107.45,01-01-2023,,Print
Chennai,5497.8,Apparel,Sharon Yoder,0.1,Online,4948.02,549.78,01-01-2023,,Print
Chennai,6064.88,Home Decor,John Alvarado,0.11,Retail,5397.74,667.14,01-01-2023,,Print
Chennai,1217.75,Home Decor,Sabrina Campbell,0.03,Online,1181.22,36.53,01-01-2023,,Print
Chennai,6887.88,Groceries,Mark Kennedy,0.04,Retail,6612.36,275.52,01-01-2023,,Print
Chennai,4915.85,Home Decor,Rebecca Dawson,0.17,Retail,4080.16,835.69,01-01-2023,,Print
Chennai,6118.89,Electronics,Aaron Dixon,0.11,Online,5445.81,673.08,01-01-2023,,Print
Chennai,4900.08,Home Decor,Evan Romero,0.04,Wholesale,4704.08,196,01-01-2023,,Print
Hyderabad,1771.71,Electronics,Jason Taylor,0.19,Online,1435.09,336.62,01-01-2023,5436.4,TV
Hyderabad,3426.32,Home Decor,Heather Lowe,0.1,Wholesale,3083.69,342.63,01-01-2023,,TV
Hyderabad,6995.21,Home Decor,Derrick Washington,0.04,Online,6715.4,279.81,01-01-2023,,TV
Hyderabad,1050.86,Apparel,Mr. John Mathews,0.15,Wholesale,893.23,157.63,01-01-2023,,TV
Hyderabad,6734.2,Groceries,Kyle Jones,0.11,Retail,5993.44,740.76,01-01-2023,,TV
Hyderabad,3904.63,Apparel,Sarah Frank,0.14,Retail,3357.98,546.65,01-01-2023,,TV
Hyderabad,8057.19,Home Decor,Samantha Davis,0.04,Online,7734.9,322.29,01-01-2023,,TV
Hyderabad,5339.36,Home Decor,Wendy Weaver,0.13,Retail,4645.24,694.12,01-01-2023,,TV
Hyderabad,7837.74,Groceries,Zachary Livingston,0.03,Online,7602.61,235.13,01-01-2023,,TV
Hyderabad,785.35,Electronics,Scott Murphy,0.12,Retail,691.11,94.24,01-01-2023,,TV
Hyderabad,4513,Home Decor,Brent Lopez,0.07,Online,4197.09,315.91,01-01-2023,,TV
Hyderabad,3324.98,Electronics,Sabrina Thomas,0.04,Online,3191.98,133,01-01-2023,,TV
Hyderabad,3487.8,Apparel,Brandy Gomez,0.06,Retail,3278.53,209.27,01-01-2023,,TV
Hyderabad,9217.91,Electronics,Stephen Whitney,0.04,Wholesale,8849.19,368.72,01-01-2023,,TV
Hyderabad,8585.88,Apparel,Michael Harmon,0.02,Retail,8414.16,171.72,01-01-2023,,TV
Hyderabad,1344.7,Electronics,Mary Pierce,0.23,Online,1035.42,309.28,01-01-2023,,TV
Hyderabad,4746.14,Electronics,Sara Williams,0.11,Wholesale,4224.06,522.08,01-01-2023,,TV
Hyderabad,6628.1,Apparel,Daniel Soto MD,0.22,Retail,5169.92,1458.18,01-01-2023,,TV
Hyderabad,849.07,Groceries,Darryl Rivas,0.02,Online,832.09,16.98,01-01-2023,,TV
Hyderabad,4869.91,Home Decor,Crystal Miller,0.12,Wholesale,4285.52,584.39,01-01-2023,,TV
Hyderabad,7845.63,Home Decor,Jamie Scott,0.09,Wholesale,7139.52,706.11,01-01-2023,,TV
Hyderabad,945.85,Groceries,Francisco Oliver,0.12,Retail,832.35,113.5,01-01-2023,,TV
Hyderabad,2194.36,Electronics,James Nguyen,0.18,Retail,1799.38,394.98,01-01-2023,,TV
Hyderabad,5720.7,Home Decor,Sara Brooks,0.04,Online,5491.87,228.83,01-01-2023,,TV
Hyderabad,5204.57,Apparel,Lisa Newman,0.15,Wholesale,4423.88,780.69,01-01-2023,,TV
Hyderabad,6346.33,Groceries,Amy Martinez,0.08,Retail,5838.62,507.71,01-01-2023,,TV
Hyderabad,8789.58,Home Decor,Anne Compton,0.12,Online,7734.83,1054.75,01-01-2023,,TV
Kochi,1123.41,Home Decor,Caleb Acevedo,0.02,Retail,1100.94,22.47,01-01-2023,1615.66,Print
Kochi,4357.57,Home Decor,Tanya Williams,0.2,Online,3486.06,871.51,01-01-2023,,Print
Kochi,1465.35,Electronics,Michael White,0.25,Retail,1099.01,366.34,01-01-2023,,Print
Kochi,2816.64,Groceries,Stephen Tyler,0.23,Wholesale,2168.81,647.83,01-01-2023,,Print
Kochi,7041.52,Groceries,Margaret Hull,0.15,Wholesale,5985.29,1056.23,01-01-2023,,Print
Kochi,5653.97,Apparel,Randy Church,0.18,Retail,4636.26,1017.71,01-01-2023,,Print
Kochi,8063.58,Groceries,Ronald Reese,0.01,Wholesale,7982.94,80.64,01-01-2023,,Print
Kochi,4219.39,Apparel,Jeanne Mclaughlin,0.15,Retail,3586.48,632.91,01-01-2023,,Print
Kochi,7369.68,Home Decor,Ryan Baird,0.21,Wholesale,5822.05,1547.63,01-01-2023,,Print
Kochi,8628.17,Electronics,Anthony Gamble,0.22,Wholesale,6729.97,1898.2,01-01-2023,,Print
Kochi,6667,Electronics,Steven Paul,0.14,Online,5733.62,933.38,01-01-2023,,Print
Kochi,3849.21,Groceries,Courtney Perry,0.08,Retail,3541.27,307.94,01-01-2023,,Print
Kochi,4708.28,Electronics,Eric Henry,0.01,Retail,4661.2,47.08,01-01-2023,,Print
Kochi,9026.7,Electronics,Jose Bowen,0.08,Online,8304.56,722.14,01-01-2023,,Print
Kochi,2052.14,Apparel,Anthony Delgado,0.17,Online,1703.28,348.86,01-01-2023,,Print
Kochi,1489.94,Groceries,Edward Snyder,0.25,Wholesale,1117.46,372.49,01-01-2023,,Print
Kochi,5542.47,Home Decor,Timothy Bennett,0.17,Retail,4600.25,942.22,01-01-2023,,Print
Kochi,4996.62,Electronics,Jessica Webster,0.22,Wholesale,3897.36,1099.26,01-01-2023,,Print
Kochi,602.76,Groceries,Thomas Castro,0.08,Online,554.54,48.22,01-01-2023,,Print
Kochi,6991.74,Apparel,Steve Velez,0.1,Online,6292.57,699.17,01-01-2023,,Print
Bangalore,8195.57,Electronics,Kevin Ross,0.14,Retail,7048.19,1147.38,01-02-2023,16451.27,Outdoor
Bangalore,1718.78,Home Decor,Taylor Hunter,0.01,Retail,1701.59,17.19,01-02-2023,,Outdoor
Bangalore,3636.47,Electronics,Emily Gonzalez,0.05,Retail,3454.65,181.82,01-02-2023,,Outdoor
Bangalore,2586.52,Groceries,Nicholas Perez,0.05,Wholesale,2457.19,129.33,01-02-2023,,Outdoor
Bangalore,8038.54,Home Decor,Bruce West,0.06,Wholesale,7556.23,482.31,01-02-2023,,Outdoor
Bangalore,8724.42,Home Decor,Michelle Warren,0.16,Online,7328.51,1395.91,01-02-2023,,Outdoor
Bangalore,8103.74,Apparel,Dave Warren,0.15,Wholesale,6888.18,1215.56,01-02-2023,,Outdoor
Bangalore,2811.36,Electronics,Michelle Bennett,0.15,Online,2389.66,421.7,01-02-2023,,Outdoor
Bangalore,3701.5,Electronics,Richard Dominguez,0.04,Wholesale,3553.44,148.06,01-02-2023,,Outdoor
Bangalore,7238.3,Electronics,Ryan Burke,0.09,Wholesale,6586.85,651.45,01-02-2023,,Outdoor
Bangalore,8888.35,Electronics,Michael Carr,0.05,Retail,8443.93,444.42,01-02-2023,,Outdoor
Bangalore,4623.22,Electronics,Steven Silva,0.07,Wholesale,4299.59,323.63,01-02-2023,,Outdoor
Bangalore,5558.66,Apparel,Brady Nelson,0.01,Online,5503.07,55.59,01-02-2023,,Outdoor
Bangalore,8513.45,Home Decor,Dr. Grant Velez,0.11,Online,7576.97,936.48,01-02-2023,,Outdoor
Bangalore,4007.43,Apparel,Brian Hoffman,0.15,Wholesale,3406.32,601.11,01-02-2023,,Outdoor
Bangalore,5006.63,Electronics,Tiffany Brooks,0.03,Wholesale,4856.43,150.2,01-02-2023,,Outdoor
Bangalore,4629.81,Home Decor,Janet Nelson,0.16,Retail,3889.04,740.77,01-02-2023,,Outdoor
Bangalore,2194.22,Home Decor,Anthony Grant,0.01,Online,2172.28,21.94,01-02-2023,,Outdoor
Bangalore,7377.79,Groceries,Corey Miller,0.19,Online,5976.01,1401.78,01-02-2023,,Outdoor
Bangalore,1193.92,Groceries,Mr. Christopher Powell,0.14,Retail,1026.77,167.15,01-02-2023,,Outdoor
Chennai,3175.21,Electronics,Kevin Walton,0.16,Online,2667.18,508.03,01-02-2023,7983.62,TV
Chennai,4480.06,Groceries,Janet Gomez,0.22,Retail,3494.45,985.61,01-02-2023,,TV
Chennai,7660.09,Apparel,Christopher Lam,0.2,Retail,6128.07,1532.02,01-02-2023,,TV
Chennai,3331,Groceries,Travis Morales,0.03,Retail,3231.07,99.93,01-02-2023,,TV
Chennai,930.42,Electronics,Rachel Collins,0,Online,930.42,0,01-02-2023,,TV
Chennai,7113.52,Apparel,Jeffery Peterson,0.09,Wholesale,6473.3,640.22,01-02-2023,,TV
Chennai,6022.93,Home Decor,Steven Sutton,0.21,Retail,4758.11,1264.82,01-02-2023,,TV
Chennai,5428.3,Groceries,Charles Hayes,0.24,Retail,4125.51,1302.79,01-02-2023,,TV
Chennai,6595.19,Groceries,Matthew Hensley,0.03,Retail,6397.33,197.86,01-02-2023,,TV
Chennai,6417.58,Apparel,Chad Olson,0.13,Wholesale,5583.29,834.29,01-02-2023,,TV
Chennai,9370.64,Electronics,Todd Foster MD,0.21,Online,7402.81,1967.83,01-02-2023,,TV
Chennai,1421.06,Apparel,Anthony Kirk,0.23,Retail,1094.22,326.84,01-02-2023,,TV
Chennai,1853.86,Home Decor,Anna George,0.08,Wholesale,1705.55,148.31,01-02-2023,,TV
Chennai,1068.02,Apparel,Jack Frye,0.06,Wholesale,1003.94,64.08,01-02-2023,,TV
Hyderabad,1760.34,Electronics,Lauren Owens,0.1,Retail,1584.31,176.03,01-02-2023,8685.88,TV
Hyderabad,2394.79,Home Decor,Jeffery Cooper,0.15,Online,2035.57,359.22,01-02-2023,,TV
Hyderabad,7332.57,Groceries,Sarah Harris MD,0.09,Wholesale,6672.64,659.93,01-02-2023,,TV
Hyderabad,4190.4,Apparel,Ashley Valdez,0.02,Retail,4106.59,83.81,01-02-2023,,TV
Hyderabad,9090.73,Groceries,Steven Palmer,0.24,Retail,6908.95,2181.78,01-02-2023,,TV
Hyderabad,8983.36,Groceries,Kristina Ford,0.1,Retail,8085.02,898.34,01-02-2023,,TV
Hyderabad,7496.88,Groceries,Melissa Pena,0.05,Online,7122.04,374.84,01-02-2023,,TV
Hyderabad,6606.96,Electronics,Melanie Anderson,0.02,Retail,6474.82,132.14,01-02-2023,,TV
Hyderabad,4176.18,Electronics,Ryan Conley,0.25,Online,3132.14,1044.05,01-02-2023,,TV
Hyderabad,3843.89,Apparel,Patrick Walker,0.21,Wholesale,3036.67,807.22,01-02-2023,,TV
Hyderabad,6897.9,Electronics,Cynthia Newton,0.17,Online,5725.26,1172.64,01-02-2023,,TV
Hyderabad,7069.15,Electronics,Kyle Rush,0.03,Retail,6857.08,212.07,01-02-2023,,TV
Hyderabad,8142.35,Apparel,Lisa Phillips,0,Retail,8142.35,0,01-02-2023,,TV
Hyderabad,1693.84,Groceries,Angela Beltran,0.18,Wholesale,1388.95,304.89,01-02-2023,,TV
Hyderabad,7505.13,Apparel,Carolyn Blanchard,0.09,Online,6829.67,675.46,01-02-2023,,TV
Hyderabad,2188.09,Apparel,Matthew Dominguez,0.15,Online,1859.88,328.21,01-02-2023,,TV
Hyderabad,6665.24,Groceries,David Hansen,0.14,Wholesale,5732.11,933.13,01-02-2023,,TV
Hyderabad,9565.33,Electronics,Albert Hart,0.15,Wholesale,8130.53,1434.8,01-02-2023,,TV
Hyderabad,5689.7,Home Decor,Benjamin Holmes,0.05,Wholesale,5405.22,284.49,01-02-2023,,TV
Hyderabad,4893.7,Apparel,John Kent,0.2,Online,3914.96,978.74,01-02-2023,,TV
Hyderabad,2254.38,Home Decor,Alyssa Walker,0.17,Wholesale,1871.14,383.24,01-02-2023,,TV
Hyderabad,4157.88,Electronics,Rebecca Patterson,0.19,Retail,3367.88,790,01-02-2023,,TV
Hyderabad,8308.91,Groceries,Michael Miranda,0.14,Online,7145.66,1163.25,01-02-2023,,TV
Hyderabad,555.02,Home Decor,Kyle Wilson,0.14,Retail,477.32,77.7,01-02-2023,,TV
Hyderabad,6449.41,Electronics,Ryan Burke,0.07,Retail,5997.95,451.46,01-02-2023,,TV
Hyderabad,8970.98,Groceries,Sara Brown,0.01,Online,8881.27,89.71,01-02-2023,,TV
Hyderabad,7235.42,Apparel,Melissa Munoz,0.21,Online,5715.98,1519.44,01-02-2023,,TV
Kochi,4297.55,Home Decor,Sergio Johnson,0.21,Retail,3395.06,902.49,01-02-2023,4136.48,Digital
Kochi,8752.33,Groceries,Robert Graham,0.04,Retail,8402.24,350.09,01-02-2023,,Digital
Kochi,9786.34,Home Decor,Angela Stanley,0.19,Online,7926.94,1859.4,01-02-2023,,Digital
Kochi,6876.14,Apparel,Sara Anderson,0.11,Wholesale,6119.76,756.38,01-02-2023,,Digital
Kochi,4476.58,Electronics,Amanda Williams,0.14,Online,3849.86,626.72,01-02-2023,,Digital
Kochi,4671.43,Groceries,Dr. David Farmer DDS,0.15,Retail,3970.72,700.71,01-02-2023,,Digital
Kochi,2820.96,Groceries,Jennifer Smith,0.2,Retail,2256.77,564.19,01-02-2023,,Digital
Kochi,7294.6,Home Decor,Darren Duncan,0.19,Wholesale,5908.63,1385.97,01-02-2023,,Digital
Kochi,9626.75,Apparel,Michael Barry,0.17,Retail,7990.2,1636.55,01-02-2023,,Digital
Kochi,8234.7,Electronics,Tyler Hill,0.2,Online,6587.76,1646.94,01-02-2023,,Digital
Kochi,5000.02,Electronics,Marcia Jenkins,0.13,Retail,4350.02,650,01-02-2023,,Digital
Kochi,1422.04,Electronics,Megan Perry,0.13,Retail,1237.17,184.87,01-02-2023,,Digital
Kochi,9974.67,Apparel,Jay James,0.04,Wholesale,9575.68,398.99,01-02-2023,,Digital
Kochi,5605.57,Home Decor,Kimberly Gray,0.17,Wholesale,4652.62,952.95,01-02-2023,,Digital
Kochi,9647.25,Home Decor,Megan Fuller,0.16,Online,8103.69,1543.56,01-02-2023,,Digital
Kochi,2111.51,Groceries,Theresa Robinson,0.12,Wholesale,1858.13,253.38,01-02-2023,,Digital
Kochi,3899.59,Home Decor,Patricia Howard,0.03,Online,3782.6,116.99,01-02-2023,,Digital
Kochi,8383.66,Apparel,Gregory Lewis,0.18,Wholesale,6874.6,1509.06,01-02-2023,,Digital
Kochi,9100.25,Home Decor,Dr. Kelsey Moore,0.24,Wholesale,6916.19,2184.06,01-02-2023,,Digital
Kochi,5676.61,Home Decor,Stephanie Oliver,0.16,Retail,4768.35,908.26,01-02-2023,,Digital
Kochi,8260.84,Apparel,Anna Kerr,0.22,Online,6443.46,1817.38,01-02-2023,,Digital
Kochi,7024.58,Groceries,Shawn Harrison,0.24,Wholesale,5338.68,1685.9,01-02-2023,,Digital
Kochi,2635.16,Groceries,Dana Yang,0.07,Online,2450.7,184.46,01-02-2023,,Digital
Kochi,9939.58,Electronics,Todd Ortega,0.06,Online,9343.21,596.37,01-02-2023,,Digital
Kochi,627.77,Home Decor,Christina Fletcher,0.17,Retail,521.05,106.72,01-02-2023,,Digital
Kochi,9911.76,Groceries,Barbara White,0.24,Wholesale,7532.94,2378.82,01-02-2023,,Digital
Kochi,6481.47,Groceries,Pedro Henry,0.11,Wholesale,5768.51,712.96,01-02-2023,,Digital
Kochi,2836.38,Electronics,Crystal Sanchez,0.15,Online,2410.92,425.46,01-02-2023,,Digital
Kochi,1481.19,Home Decor,Nicole Waters,0.01,Retail,1466.38,14.81,01-02-2023,,Digital
Bangalore,2571.71,Groceries,Tracy Schultz,0.21,Online,2031.65,540.06,01-03-2023,18472.7,Print
Bangalore,2905.51,Groceries,Erin Martinez,0.17,Online,2411.57,493.94,01-03-2023,,Print
Bangalore,8943.92,Groceries,Tyler Hodges,0.03,Wholesale,8675.6,268.32,01-03-2023,,Print
Bangalore,6608.01,Home Decor,Megan King,0,Online,6608.01,0,01-03-2023,,Print
Bangalore,2713.8,Apparel,Gregory Tran,0.18,Retail,2225.32,488.48,01-03-2023,,Print
Bangalore,9116.68,Electronics,Lisa Poole,0.16,Retail,7658.01,1458.67,01-03-2023,,Print
Bangalore,5738.73,Apparel,Jason Davis,0.16,Retail,4820.53,918.2,01-03-2023,,Print
Bangalore,1009.55,Home Decor,Daniel Martin,0.05,Retail,959.07,50.48,01-03-2023,,Print
Bangalore,1438.16,Electronics,Manuel Santos,0.05,Wholesale,1366.25,71.91,01-03-2023,,Print
Bangalore,4487.53,Home Decor,Matthew Clark,0.06,Online,4218.28,269.25,01-03-2023,,Print
Bangalore,9453.68,Apparel,Tracy Hall,0.12,Retail,8319.24,1134.44,01-03-2023,,Print
Bangalore,2116.41,Apparel,Suzanne Banks,0,Retail,2116.41,0,01-03-2023,,Print
Bangalore,1445.07,Groceries,David Edwards,0.1,Online,1300.56,144.51,01-03-2023,,Print
Bangalore,8405.33,Home Decor,Kelly David,0.16,Retail,7060.48,1344.85,01-03-2023,,Print
Bangalore,9612.73,Electronics,Kevin Jordan,0.15,Wholesale,8170.82,1441.91,01-03-2023,,Print
Bangalore,2260.51,Electronics,Luis Clark,0.04,Wholesale,2170.09,90.42,01-03-2023,,Print
Bangalore,5366.31,Electronics,Whitney White,0,Wholesale,5366.31,0,01-03-2023,,Print
Bangalore,2000.94,Groceries,Mathew Gomez,0.15,Wholesale,1700.8,300.14,01-03-2023,,Print
Bangalore,9118.68,Groceries,Christian Williams,0.22,Wholesale,7112.57,2006.11,01-03-2023,,Print
Bangalore,4458.99,Groceries,Sarah Perez,0.19,Wholesale,3611.78,847.21,01-03-2023,,Print
Bangalore,1990.17,Home Decor,Ashley Powers MD,0.23,Online,1532.43,457.74,01-03-2023,,Print
Bangalore,8850.67,Home Decor,Mrs. Jacqueline Carr,0.2,Retail,7080.54,1770.13,01-03-2023,,Print
Chennai,7453.86,Home Decor,Anthony Robinson,0.19,Retail,6037.63,1416.23,01-03-2023,10057.98,Print
Chennai,9087.74,Apparel,Michelle Mason,0.21,Retail,7179.31,1908.43,01-03-2023,,Print
Chennai,6392.42,Electronics,Elizabeth Tapia,0.25,Retail,4794.32,1598.11,01-03-2023,,Print
Chennai,1263.92,Groceries,Shawn Reyes,0.21,Wholesale,998.5,265.42,01-03-2023,,Print
Chennai,8993.94,Home Decor,Tyler Garcia,0.05,Online,8544.24,449.7,01-03-2023,,Print
Chennai,4440.34,Apparel,Katrina Nixon,0.14,Wholesale,3818.69,621.65,01-03-2023,,Print
Chennai,4870.54,Electronics,Miss Beth Cuevas DDS,0.1,Online,4383.49,487.05,01-03-2023,,Print
Chennai,2867.66,Home Decor,Bryan Wall,0.13,Online,2494.86,372.8,01-03-2023,,Print
Chennai,8811.74,Home Decor,Joseph Jackson,0.11,Wholesale,7842.45,969.29,01-03-2023,,Print
Chennai,2574.51,Electronics,Raymond Miller,0.21,Online,2033.86,540.65,01-03-2023,,Print
Chennai,4340.85,Apparel,Katherine Gallagher,0.05,Online,4123.81,217.04,01-03-2023,,Print
Chennai,540.92,Apparel,Jason Vang,0.16,Online,454.37,86.55,01-03-2023,,Print
Chennai,6985.95,Groceries,Annette Gonzalez,0.06,Retail,6566.79,419.16,01-03-2023,,Print
Chennai,9483.3,Electronics,Christina Caldwell,0.02,Online,9293.63,189.67,01-03-2023,,Print
Chennai,680.21,Groceries,Matthew Ortiz,0.11,Online,605.39,74.82,01-03-2023,,Print
Chennai,6790.19,Electronics,Jessica Brown,0.17,Retail,5635.86,1154.33,01-03-2023,,Print
Chennai,4212.39,Electronics,Alexis Scott,0.12,Online,3706.9,505.49,01-03-2023,,Print
Chennai,9570.22,Apparel,Lisa Farley,0.11,Online,8517.5,1052.72,01-03-2023,,Print
Chennai,6408.44,Groceries,Cynthia Rose,0.04,Wholesale,6152.1,256.34,01-03-2023,,Print
Chennai,8168.87,Groceries,Seth Gutierrez,0.21,Retail,6453.41,1715.46,01-03-2023,,Print
Chennai,3599.46,Groceries,Debra Martinez,0.13,Wholesale,3131.53,467.93,01-03-2023,,Print
Chennai,3824.6,Home Decor,Jennifer Bailey,0,Online,3824.6,0,01-03-2023,,Print
Chennai,1666.46,Groceries,Zachary Jackson,0.21,Retail,1316.5,349.96,01-03-2023,,Print
Chennai,7807.59,Groceries,Michael Kelly,0,Retail,7807.59,0,01-03-2023,,Print
Chennai,1786.72,Groceries,Troy Cook,0.2,Online,1429.38,357.34,01-03-2023,,Print
Chennai,2656.97,Groceries,Amanda Alexander,0.15,Online,2258.42,398.55,01-03-2023,,Print
Hyderabad,8872.85,Home Decor,Diana Blankenship,0.13,Online,7719.38,1153.47,01-03-2023,4875.01,TV
Hyderabad,8165.55,Electronics,Lauren Kelley,0.12,Retail,7185.68,979.87,01-03-2023,,TV
Hyderabad,6728.82,Apparel,Edward Boyd,0.19,Retail,5450.34,1278.48,01-03-2023,,TV
Hyderabad,4742.15,Apparel,Stephanie Davis,0.17,Retail,3935.98,806.17,01-03-2023,,TV
Hyderabad,4375.52,Groceries,Elizabeth Brown,0.04,Wholesale,4200.5,175.02,01-03-2023,,TV
Hyderabad,5740.87,Home Decor,Shari Watson DDS,0.05,Retail,5453.83,287.04,01-03-2023,,TV
Hyderabad,9065.27,Groceries,Andrew Allison,0.13,Wholesale,7886.78,1178.49,01-03-2023,,TV
Hyderabad,2042.91,Groceries,Eric Mann,0.01,Retail,2022.48,20.43,01-03-2023,,TV
Hyderabad,9338.45,Groceries,Anthony Perez,0.01,Wholesale,9245.07,93.38,01-03-2023,,TV
Hyderabad,4262.48,Groceries,Brandon Simon Jr.,0.16,Retail,3580.48,682,01-03-2023,,TV
Hyderabad,1998.68,Apparel,Leon King,0,Retail,1998.68,0,01-03-2023,,TV
Hyderabad,2581.45,Home Decor,Kimberly Bradley,0.18,Wholesale,2116.79,464.66,01-03-2023,,TV
Hyderabad,1727.92,Apparel,Travis Burke,0.11,Online,1537.85,190.07,01-03-2023,,TV
Hyderabad,4519.39,Electronics,Deborah Salinas,0.24,Wholesale,3434.74,1084.65,01-03-2023,,TV
