City,Amount,Product_Category,Sales_Rep,Discount,Customer_segmentation,After_dicouont,Loss,Month_Formatted,Spend,Channel,ROI %
Kochi,9969.59,Electronics,Stephanie Kennedy,0.04,Retail,9570.81,398.78,01-03-2023,,Digital,#DIV/0!
Kochi,3012.67,Electronics,Amanda Ayala,0.02,Wholesale,2952.42,60.25,01-04-2023,11200.31,Digital,2951.42
Kochi,9349.57,Home Decor,Jacqueline Bowen,0.21,Wholesale,7386.16,1963.41,01-04-2023,,Digital,#DIV/0!
Kochi,9263.74,Home Decor,Danielle Price,0,Wholesale,9263.74,0,01-04-2023,,Digital,#DIV/0!
Kochi,6783.47,Electronics,James Pena,0.06,Online,6376.46,407.01,01-04-2023,,Digital,#DIV/0!
Kochi,4816.52,Electronics,Victoria Thomas,0.14,Retail,4142.21,674.31,01-04-2023,,Digital,#DIV/0!
Kochi,7084.87,Home Decor,Jessica Berry,0.23,Retail,5455.35,1629.52,01-04-2023,,Digital,#DIV/0!
Kochi,4175.76,Electronics,Patrick Perry,0.16,Wholesale,3507.64,668.12,01-04-2023,,Digital,#DIV/0!
Kochi,1949.61,Home Decor,Jeremiah Smith,0.04,Wholesale,1871.63,77.98,01-04-2023,,Digital,#DIV/0!
Kochi,5716.47,Home Decor,Carla Vasquez,0.06,Wholesale,5373.48,342.99,01-04-2023,,Digital,#DIV/0!
Kochi,2988.41,Home Decor,Melinda Horton,0.09,Wholesale,2719.45,268.96,01-04-2023,,Digital,#DIV/0!
Kochi,894.34,Apparel,Jason Carrillo,0.15,Online,760.19,134.15,01-04-2023,,Digital,#DIV/0!
Kochi,3800.12,Groceries,Alan Suarez,0.01,Wholesale,3762.12,38,01-04-2023,,Digital,#DIV/0!
Kochi,6470.21,Apparel,Taylor Porter,0.23,Online,4982.06,1488.15,01-04-2023,,Digital,#DIV/0!
Kochi,3093.76,Home Decor,Lisa Jones,0.18,Online,2536.88,556.88,01-04-2023,,Digital,#DIV/0!
Kochi,5875.57,Groceries,Karen Reeves,0.1,Wholesale,5288.01,587.56,01-04-2023,,Digital,#DIV/0!
Kochi,4976.82,Apparel,Randy Porter,0.12,Retail,4379.6,597.22,01-04-2023,,Digital,#DIV/0!
Kochi,4148.81,Apparel,Tamara Leach,0.22,Wholesale,3236.07,912.74,01-04-2023,,Digital,#DIV/0!
Kochi,5177.94,Home Decor,Jason Barnes,0.15,Online,4401.25,776.69,01-04-2023,,Digital,#DIV/0!
Kochi,3481.01,Electronics,Christina Taylor,0.12,Retail,3063.29,417.72,01-04-2023,,Digital,#DIV/0!
Kochi,8555.03,Groceries,Michelle Campbell,0.01,Retail,8469.48,85.55,01-04-2023,,Digital,#DIV/0!
Kochi,7737.05,Home Decor,Megan Perez,0.2,Wholesale,6189.64,1547.41,01-05-2023,9244.28,TV,6188.64
Kochi,1817.24,Electronics,Curtis Cole,0.23,Wholesale,1399.27,417.97,01-05-2023,,TV,#DIV/0!
Kochi,5564.92,Home Decor,Jennifer Molina,0.1,Retail,5008.43,556.49,01-05-2023,,TV,#DIV/0!
Kochi,1310.39,Apparel,John Yoder,0.14,Retail,1126.94,183.45,01-05-2023,,TV,#DIV/0!
Kochi,7079.78,Apparel,Tracy Tran,0.2,Retail,5663.82,1415.96,01-05-2023,,TV,#DIV/0!
Kochi,3484.42,Groceries,Miguel Henson,0.24,Online,2648.16,836.26,01-05-2023,,TV,#DIV/0!
Kochi,9814.27,Home Decor,Katherine Morales,0.02,Online,9617.98,196.29,01-05-2023,,TV,#DIV/0!
Kochi,9087.14,Electronics,Teresa Acevedo,0.18,Online,7451.45,1635.69,01-05-2023,,TV,#DIV/0!
Kochi,9790.06,Groceries,Phillip Peters,0.02,Wholesale,9594.26,195.8,01-05-2023,,TV,#DIV/0!
Kochi,2741.91,Groceries,Gregory Mills,0.05,Wholesale,2604.81,137.1,01-05-2023,,TV,#DIV/0!
Kochi,5880.65,Home Decor,Shannon Hill,0.08,Retail,5410.2,470.45,01-05-2023,,TV,#DIV/0!
Kochi,9216.54,Home Decor,Mrs. Jessica Baker,0.1,Retail,8294.89,921.65,01-05-2023,,TV,#DIV/0!
Kochi,3409.76,Groceries,Susan Bean,0.07,Wholesale,3171.08,238.68,01-05-2023,,TV,#DIV/0!
Kochi,2366.65,Groceries,Penny King,0.15,Wholesale,2011.65,355,01-05-2023,,TV,#DIV/0!
Kochi,1443.68,Electronics,Terry Holden,0.08,Online,1328.19,115.49,01-05-2023,,TV,#DIV/0!
Kochi,1973.12,Home Decor,Megan Taylor,0.05,Online,1874.46,98.66,01-05-2023,,TV,#DIV/0!
Kochi,8393.03,Groceries,Scott Jones,0.09,Retail,7637.66,755.37,01-05-2023,,TV,#DIV/0!
Kochi,1132.37,Electronics,Mitchell Jones,0.2,Retail,905.9,226.47,01-05-2023,,TV,#DIV/0!
Kochi,795.26,Apparel,Trevor Sawyer,0.15,Wholesale,675.97,119.29,01-05-2023,,TV,#DIV/0!
Kochi,8126.6,Groceries,Jill Harris,0.08,Online,7476.47,650.13,01-05-2023,,TV,#DIV/0!
Kochi,8382.41,Electronics,Aaron Edwards,0.06,Retail,7879.47,502.94,01-05-2023,,TV,#DIV/0!
Kochi,6353.9,Home Decor,Jennifer Lewis,0.22,Wholesale,4956.04,1397.86,01-05-2023,,TV,#DIV/0!
Kochi,4803.57,Groceries,Louis Coffey,0.11,Online,4275.18,528.39,01-05-2023,,TV,#DIV/0!
Kochi,9636.82,Home Decor,Cory Harrington,0.25,Retail,7227.62,2409.21,01-06-2023,6950.95,Print,7226.62
Kochi,9162.07,Apparel,Wayne Martinez,0.07,Retail,8520.73,641.34,01-06-2023,,Print,#DIV/0!
Kochi,3985.53,Electronics,John Wilson,0.03,Wholesale,3865.96,119.57,01-06-2023,,Print,#DIV/0!
Kochi,3387.01,Home Decor,Matthew Jackson,0.18,Retail,2777.35,609.66,01-06-2023,,Print,#DIV/0!
Kochi,9975.12,Apparel,Anthony Garza,0.13,Online,8678.35,1296.77,01-06-2023,,Print,#DIV/0!
Kochi,1508.48,Home Decor,William Patterson,0.24,Retail,1146.44,362.04,01-06-2023,,Print,#DIV/0!
Kochi,2520,Groceries,Robin Nash,0.02,Retail,2469.6,50.4,01-06-2023,,Print,#DIV/0!
Kochi,5165.65,Electronics,Bonnie Moreno,0.11,Wholesale,4597.43,568.22,01-06-2023,,Print,#DIV/0!
Kochi,3001.81,Home Decor,Randy Nelson,0.09,Retail,2731.65,270.16,01-06-2023,,Print,#DIV/0!
Kochi,8335.32,Groceries,Michael Mann,0.02,Retail,8168.61,166.71,01-06-2023,,Print,#DIV/0!
Kochi,7675.24,Home Decor,Sylvia Madden,0.23,Online,5909.93,1765.31,01-06-2023,,Print,#DIV/0!
Kochi,3792.02,Home Decor,Angela Diaz,0.23,Retail,2919.86,872.16,01-06-2023,,Print,#DIV/0!
Kochi,5935.93,Apparel,Laura Fowler,0.21,Online,4689.38,1246.55,01-06-2023,,Print,#DIV/0!
Kochi,4707.52,Electronics,Devin Hatfield,0.02,Wholesale,4613.37,94.15,01-06-2023,,Print,#DIV/0!
Kochi,1656.51,Apparel,Chad Juarez,0.16,Online,1391.47,265.04,01-06-2023,,Print,#DIV/0!
Kochi,2083.65,Electronics,Shane Weeks,0.22,Retail,1625.25,458.4,01-06-2023,,Print,#DIV/0!
Kochi,3406.13,Home Decor,Crystal Hernandez,0.18,Wholesale,2793.03,613.1,01-06-2023,,Print,#DIV/0!
Kochi,7142.33,Groceries,David Lloyd,0.06,Retail,6713.79,428.54,01-06-2023,,Print,#DIV/0!
Kochi,4478.9,Groceries,Dale Rojas,0.05,Online,4254.96,223.95,01-06-2023,,Print,#DIV/0!
Kochi,4597.7,Apparel,Joseph Martin,0.13,Wholesale,4000,597.7,01-06-2023,,Print,#DIV/0!
Kochi,3768.88,Apparel,Kathryn Kaiser,0.11,Retail,3354.3,414.58,01-06-2023,,Print,#DIV/0!
Kochi,2879.49,Electronics,Christopher Watkins,0.16,Wholesale,2418.77,460.72,01-06-2023,,Print,#DIV/0!
Kochi,5358.57,Apparel,Cameron Gray,0.04,Retail,5144.23,214.34,01-06-2023,,Print,#DIV/0!
Kochi,6054.63,Home Decor,Reginald Bishop,0.07,Online,5630.81,423.82,01-06-2023,,Print,#DIV/0!
Kochi,7937.51,Electronics,Rodney Dillon,0.02,Online,7778.76,158.75,01-06-2023,,Print,#DIV/0!
Kochi,518.34,Home Decor,Daniel Williams,0.11,Online,461.32,57.02,01-06-2023,,Print,#DIV/0!
Kochi,1116.53,Apparel,Kyle Jones,0.23,Wholesale,859.73,256.8,01-06-2023,,Print,#DIV/0!
Kochi,5871.92,Apparel,Dr. Kristen Sawyer,0.16,Wholesale,4932.41,939.51,01-06-2023,,Print,#DIV/0!
Kochi,7782.58,Home Decor,David Baker,0.16,Wholesale,6537.37,1245.21,01-06-2023,,Print,#DIV/0!
Kochi,9070.9,Home Decor,Matthew Collins,0.15,Wholesale,7710.27,1360.64,01-06-2023,,Print,#DIV/0!
Kochi,3911.58,Groceries,Eddie Davis,0.06,Wholesale,3676.89,234.69,01-06-2023,,Print,#DIV/0!
Kochi,7480.68,Electronics,Dr. Christopher Gutierrez,0.01,Retail,7405.87,74.81,01-07-2023,18502.83,TV,7404.87
Kochi,2732.41,Home Decor,Emily Jensen,0.19,Online,2213.25,519.16,01-07-2023,,TV,#DIV/0!
Kochi,7388.29,Apparel,Robert Jackson,0.17,Online,6132.28,1256.01,01-07-2023,,TV,#DIV/0!
Kochi,3906.26,Home Decor,Casey Johnson,0.07,Retail,3632.82,273.44,01-07-2023,,TV,#DIV/0!
Kochi,8929.07,Home Decor,Benjamin Davis,0.02,Wholesale,8750.49,178.58,01-07-2023,,TV,#DIV/0!
Kochi,5270.19,Apparel,David Rose,0.03,Wholesale,5112.08,158.11,01-07-2023,,TV,#DIV/0!
Kochi,1180.98,Electronics,Mark Smith,0.07,Retail,1098.31,82.67,01-07-2023,,TV,#DIV/0!
Kochi,4389.29,Electronics,Whitney Bolton,0.13,Wholesale,3818.68,570.61,01-07-2023,,TV,#DIV/0!
Kochi,5498.69,Groceries,David Smith,0,Online,5498.69,0,01-07-2023,,TV,#DIV/0!
Kochi,9600.61,Groceries,Sarah Conner,0.03,Online,9312.59,288.02,01-07-2023,,TV,#DIV/0!
Kochi,9433.56,Groceries,Corey Hall,0.23,Online,7263.84,2169.72,01-07-2023,,TV,#DIV/0!
Kochi,2966.91,Electronics,Cassandra Boyd,0.02,Online,2907.57,59.34,01-07-2023,,TV,#DIV/0!
Kochi,9522.38,Groceries,James Rodgers,0.15,Retail,8094.02,1428.36,01-07-2023,,TV,#DIV/0!
Kochi,696.82,Electronics,Brian Hendricks,0.22,Wholesale,543.52,153.3,01-07-2023,,TV,#DIV/0!
Kochi,9238,Groceries,Pamela Martinez,0.22,Wholesale,7205.64,2032.36,01-07-2023,,TV,#DIV/0!
Kochi,1338.95,Groceries,Ashley Harris,0.19,Retail,1084.55,254.4,01-07-2023,,TV,#DIV/0!
Kochi,4530.27,Groceries,Lisa Hughes,0.22,Online,3533.61,996.66,01-07-2023,,TV,#DIV/0!
Kochi,7301.81,Apparel,Brian Garcia,0.17,Retail,6060.5,1241.31,01-07-2023,,TV,#DIV/0!
Kochi,9158.51,Electronics,Teresa Patterson DVM,0.09,Retail,8334.24,824.27,01-07-2023,,TV,#DIV/0!
Kochi,4105.03,Apparel,Justin Gomez,0.14,Online,3530.33,574.7,01-07-2023,,TV,#DIV/0!
Kochi,7027.43,Groceries,Paula Barton,0,Online,7027.43,0,01-07-2023,,TV,#DIV/0!
Kochi,890.21,Electronics,Angela Gardner,0.09,Online,810.09,80.12,01-07-2023,,TV,#DIV/0!
Kochi,2179.03,Groceries,Grace Morales,0.18,Online,1786.8,392.23,01-07-2023,,TV,#DIV/0!
Kochi,9330.69,Apparel,Mark Boone,0.03,Wholesale,9050.77,279.92,01-07-2023,,TV,#DIV/0!
Kochi,9462.6,Apparel,Michael Vasquez,0.18,Online,7759.33,1703.27,01-07-2023,,TV,#DIV/0!
Kochi,3639.45,Apparel,Sydney Anderson,0.25,Online,2729.59,909.86,01-07-2023,,TV,#DIV/0!
Kochi,4498.35,Groceries,Timothy Perry,0.14,Online,3868.58,629.77,01-08-2023,6177.78,Outdoor,3867.58
Kochi,6844.08,Apparel,Rebecca Thompson,0.16,Wholesale,5749.03,1095.05,01-08-2023,,Outdoor,#DIV/0!
Kochi,9266.74,Electronics,David Meyer,0.19,Retail,7506.06,1760.68,01-08-2023,,Outdoor,#DIV/0!
Kochi,3393.43,Groceries,Kenneth Bowen,0.09,Online,3088.02,305.41,01-08-2023,,Outdoor,#DIV/0!
Kochi,2914.66,Apparel,Amanda Hill,0.16,Wholesale,2448.31,466.35,01-08-2023,,Outdoor,#DIV/0!
Kochi,5070.65,Apparel,Jacob Berry,0.22,Online,3955.11,1115.54,01-08-2023,,Outdoor,#DIV/0!
Kochi,8305.79,Apparel,Andrew Johnson,0.05,Wholesale,7890.5,415.29,01-08-2023,,Outdoor,#DIV/0!
Kochi,7150.61,Home Decor,Alexis Robertson MD,0.25,Online,5362.96,1787.65,01-08-2023,,Outdoor,#DIV/0!
Kochi,5108.37,Electronics,John Miles,0.1,Retail,4597.53,510.84,01-08-2023,,Outdoor,#DIV/0!
Kochi,6564.87,Groceries,Cindy Brown,0.05,Online,6236.63,328.24,01-08-2023,,Outdoor,#DIV/0!
Kochi,3136.78,Apparel,Noah Jones,0.17,Wholesale,2603.53,533.25,01-08-2023,,Outdoor,#DIV/0!
Kochi,4909.45,Home Decor,Becky Marquez,0.01,Wholesale,4860.36,49.09,01-08-2023,,Outdoor,#DIV/0!
Kochi,636.04,Groceries,Valerie White,0.15,Online,540.63,95.41,01-08-2023,,Outdoor,#DIV/0!
Kochi,524.79,Home Decor,Ryan Phillips,0.11,Online,467.06,57.73,01-08-2023,,Outdoor,#DIV/0!
Kochi,3798.52,Electronics,Timothy Sanchez,0.03,Retail,3684.56,113.96,01-08-2023,,Outdoor,#DIV/0!
Kochi,682.72,Apparel,Robert Reid,0.14,Wholesale,587.14,95.58,01-08-2023,,Outdoor,#DIV/0!
Kochi,7854.38,Electronics,Margaret Roberts MD,0.09,Retail,7147.49,706.89,01-08-2023,,Outdoor,#DIV/0!
Kochi,5818.81,Electronics,Olivia Bradford,0.17,Wholesale,4829.61,989.2,01-08-2023,,Outdoor,#DIV/0!
Kochi,934.82,Apparel,David Rodriguez,0.23,Wholesale,719.81,215.01,01-08-2023,,Outdoor,#DIV/0!
Kochi,7680.88,Apparel,Ryan Nicholson,0.1,Wholesale,6912.79,768.09,01-09-2023,18001.91,Digital,6911.79
Kochi,4816.41,Groceries,Lauren Hernandez,0.14,Retail,4142.11,674.3,01-09-2023,,Digital,#DIV/0!
Kochi,3394.66,Home Decor,Denise Sanders,0.17,Wholesale,2817.57,577.09,01-09-2023,,Digital,#DIV/0!
Kochi,6306.43,Groceries,Kristen Bennett,0.16,Online,5297.4,1009.03,01-09-2023,,Digital,#DIV/0!
Kochi,3328.11,Groceries,Michelle Warren,0.21,Online,2629.21,698.9,01-09-2023,,Digital,#DIV/0!
Kochi,981.62,Groceries,Roy Price,0.21,Wholesale,775.48,206.14,01-09-2023,,Digital,#DIV/0!
Kochi,8719.25,Electronics,Lori Thomas,0.07,Online,8108.9,610.35,01-09-2023,,Digital,#DIV/0!
Kochi,9901.88,Home Decor,Antonio Strong,0.11,Wholesale,8812.67,1089.21,01-09-2023,,Digital,#DIV/0!
Kochi,2530.55,Electronics,Shannon Snyder,0.11,Retail,2252.19,278.36,01-09-2023,,Digital,#DIV/0!
Kochi,5617.77,Electronics,Samantha Woods,0,Wholesale,5617.77,0,01-09-2023,,Digital,#DIV/0!
Kochi,6370.16,Groceries,Brandi Jones,0.11,Wholesale,5669.44,700.72,01-09-2023,,Digital,#DIV/0!
Kochi,1194.46,Groceries,Jesse Rodriguez,0.1,Online,1075.01,119.45,01-09-2023,,Digital,#DIV/0!
Kochi,4009.27,Groceries,Ryan Roberson,0.16,Online,3367.79,641.48,01-09-2023,,Digital,#DIV/0!
Kochi,1379,Electronics,Maria Harrison,0.08,Online,1268.68,110.32,01-09-2023,,Digital,#DIV/0!
Kochi,1910.73,Home Decor,Frank Larson,0.03,Wholesale,1853.41,57.32,01-09-2023,,Digital,#DIV/0!
Kochi,9312.42,Home Decor,Kelli Pope,0.15,Retail,7915.56,1396.86,01-09-2023,,Digital,#DIV/0!
Kochi,4500.64,Groceries,Madison Villegas,0.14,Online,3870.55,630.09,01-09-2023,,Digital,#DIV/0!
Kochi,1241.33,Electronics,Emily Sanchez,0.24,Retail,943.41,297.92,01-09-2023,,Digital,#DIV/0!
Kochi,8787.61,Apparel,Larry Stout IV,0.13,Online,7645.22,1142.39,01-09-2023,,Digital,#DIV/0!
Kochi,974.22,Groceries,Ariel Hanson,0.15,Online,828.09,146.13,01-09-2023,,Digital,#DIV/0!
Kochi,2580.1,Electronics,Dominic Lucas,0.05,Wholesale,2451.1,129.01,01-09-2023,,Digital,#DIV/0!
Kochi,6174.46,Groceries,Heather Hardy,0.1,Wholesale,5557.01,617.45,01-09-2023,,Digital,#DIV/0!
Kochi,4891.75,Groceries,Melinda Williamson,0.1,Retail,4402.58,489.18,01-09-2023,,Digital,#DIV/0!
Kochi,8902.36,Groceries,Patricia Rios,0.15,Online,7567.01,1335.35,01-09-2023,,Digital,#DIV/0!
Kochi,6198.02,Electronics,Gregory Wilson,0.23,Online,4772.48,1425.54,01-09-2023,,Digital,#DIV/0!
Kochi,8497.04,Apparel,Gina Stout,0.05,Wholesale,8072.19,424.85,01-09-2023,,Digital,#DIV/0!
Kochi,5954.89,Apparel,Sheila Logan,0.05,Wholesale,5657.15,297.74,01-09-2023,,Digital,#DIV/0!
Kochi,3731.86,Home Decor,Laura Good,0.25,Wholesale,2798.9,932.97,01-09-2023,,Digital,#DIV/0!
Kochi,6360.37,Groceries,Lindsey Johnston,0.11,Online,5660.73,699.64,01-09-2023,,Digital,#DIV/0!
Kochi,6916.17,Apparel,Nicole Torres,0.04,Wholesale,6639.52,276.65,01-09-2023,,Digital,#DIV/0!
Kochi,7300.69,Groceries,Robert Roach,0.22,Wholesale,5694.54,1606.15,01-09-2023,,Digital,#DIV/0!
Kochi,585.43,Groceries,Stephanie Ford,0.12,Online,515.18,70.25,01-09-2023,,Digital,#DIV/0!
Kochi,2488.89,Groceries,Sarah White,0.07,Retail,2314.67,174.22,01-09-2023,,Digital,#DIV/0!
Kochi,1630.98,Groceries,Melanie Holmes,0.08,Online,1500.5,130.48,01-10-2023,1245.7,Outdoor,1499.5
Kochi,1507.64,Home Decor,Edward Collins,0.11,Retail,1341.8,165.84,01-10-2023,,Outdoor,#DIV/0!
Kochi,1648.52,Apparel,Ronald Ramos,0.18,Retail,1351.79,296.73,01-10-2023,,Outdoor,#DIV/0!
Kochi,6189.29,Groceries,Dana Dixon,0.23,Retail,4765.75,1423.54,01-10-2023,,Outdoor,#DIV/0!
Kochi,3994.21,Electronics,Timothy Beck,0.11,Retail,3554.85,439.36,01-10-2023,,Outdoor,#DIV/0!
Kochi,1615.84,Groceries,Michelle Rose,0.09,Retail,1470.41,145.43,01-10-2023,,Outdoor,#DIV/0!
